"filename", "language", "JavaScript", "Log", "JSON with Comments", "JSON", "Ignore", "TypeScript", "Vue", "HTML", "SCSS", "XML", "Markdown", "comment", "blank", "total"
"d:\WebDev\portfolio-project\.eslintrc.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\WebDev\portfolio-project\.prettierignore", "Ignore", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\WebDev\portfolio-project\.prettierrc.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\WebDev\portfolio-project\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 5, 25
"d:\WebDev\portfolio-project\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\WebDev\portfolio-project\debug.log", "Log", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\WebDev\portfolio-project\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 6
"d:\WebDev\portfolio-project\jsconfig.json", "JSON with Comments", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\WebDev\portfolio-project\package-lock.json", "JSON", 0, 0, 0, 32825, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32826
"d:\WebDev\portfolio-project\package.json", "JSON", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"d:\WebDev\portfolio-project\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 3, 27
"d:\WebDev\portfolio-project\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"d:\WebDev\portfolio-project\src\assets\fonts\NidusSans\nidsans-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2096, 0, 0, 0, 2096
"d:\WebDev\portfolio-project\src\assets\js\Custom.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 19, 218
"d:\WebDev\portfolio-project\src\assets\js\font-awesome.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 42
"d:\WebDev\portfolio-project\src\assets\scss\_imports.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 10, 6, 19
"d:\WebDev\portfolio-project\src\assets\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 3, 20
